"npc_boss_bounty_hunter"                     "Bounty Hunter (Boss)"


"DOTA_Tooltip_ability_custom_shuriken_toss"								"Shuriken Toss"
"DOTA_Tooltip_ability_custom_shuriken_toss_Description"					"Hurls a deadly shuriken at an enemy unit, dealing damage and mini-stunning the target.  The shuriken will bounce between any Tracked units who are within a %bounce_aoe% radius of each other.\n\nUpgradable by Aghanim's Scepter."
"DOTA_Tooltip_ability_custom_shuriken_toss_aghanim_description"			"Allows Shuriken Toss to bounce twice on each hero."
"DOTA_Tooltip_ability_custom_shuriken_toss_Lore"						"While the shuriken may be small, Gondar's precise aim can cause critical damage."
"DOTA_Tooltip_ability_custom_shuriken_toss_Note0"						"This spell interrupts channeling abilities."
"DOTA_Tooltip_ability_custom_shuriken_toss_bonus_damage"				"DAMAGE:"
"DOTA_Tooltip_ability_custom_shuriken_toss_bounce_aoe"		            "TRACK BOUNCE RANGE:"

"DOTA_Tooltip_ability_custom_track"										"Track"
"DOTA_Tooltip_ability_custom_track_Description"							"Tracks an enemy hero, granting True Sight of the target. You move fast when near the tracked unit and deal critical strikes when attacking it."
"DOTA_Tooltip_ability_custom_track_Lore"								"Using his elevated senses of sight and smell, Gondar's hits have quite a good chance of success."
"DOTA_Tooltip_ability_custom_track_Note0"								"Track's effect is only visible to allies."
"DOTA_Tooltip_ability_custom_track_target_crit_multiplier"				"%SELF CRITICAL STRIKE:"
"DOTA_Tooltip_ability_custom_track_bonus_move_speed_pct"				"%SELF BONUS SPEED:"
"DOTA_Tooltip_ability_custom_track_duration"							"DURATION:"

"DOTA_Tooltip_ability_custom_hunter_combo"								"Hunter Combo"
"DOTA_Tooltip_ability_custom_hunter_combo_Description"					"Bounty Hunter casts Track and Shuriken Toss on every hero."
