"npc_boss_small_slardar"                     "Small Slardar (Boss)"


"DOTA_Tooltip_ability_custom_slithereen_crush"									"Slithereen Crush"
"DOTA_Tooltip_ability_custom_slithereen_crush_Description"						"Slams the ground, stunning and damaging nearby enemy land units.  After the stun, the affected units are slowed."
"DOTA_Tooltip_ability_custom_slithereen_crush_Lore"							    "A swift crush of might and water breaks even the toughest of defenses."
"DOTA_Tooltip_ability_custom_slithereen_crush_stun_duration"					"STUN DURATION:"
"DOTA_Tooltip_ability_custom_slithereen_crush_crush_extra_slow"				    "%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_custom_slithereen_crush_crush_attack_slow_tooltip"		"ATTACK SLOW:"
"DOTA_Tooltip_ability_custom_slithereen_crush_crush_extra_slow_duration"		"SLOW DURATION:"
"DOTA_Tooltip_ability_custom_slithereen_crush_crush_radius"					    "RADIUS:"
