"npc_boss_zeus"                     "Zeus (Boss)"


"DOTA_Tooltip_ability_custom_arc_lightning"										"Arc Lightning"
"DOTA_Tooltip_ability_custom_arc_lightning_Description"							"Hurls a bolt of lightning that leaps through nearby enemy units."
"DOTA_Tooltip_ability_custom_arc_lightning_Lore"								"Arc Lightning is Zeus' favorite spell to use against puny mortals."
"DOTA_Tooltip_ability_custom_arc_lightning_jump_count"							"JUMPS:"
"DOTA_Tooltip_ability_custom_arc_lightning_arc_damage"							"DAMAGE:"


"DOTA_Tooltip_ability_custom_lightning_bolt"									"Lightning Bolt"
"DOTA_Tooltip_ability_custom_lightning_bolt_Description"						"Calls down a bolt of lightning to strike an enemy unit, causing damage and a mini-stun. When cast, Lightning Bolt briefly provides unobstructed vision and True Sight around the target in a 750 radius. Can be cast on the ground, affecting the closest enemy hero in %spread_aoe% range."
"DOTA_Tooltip_ability_custom_lightning_bolt_cast_range_tooltip"					"CAST RANGE:"
"DOTA_Tooltip_ability_custom_lightning_bolt_sight_radius_day"					"SIGHT RADIUS:"
"DOTA_Tooltip_ability_custom_lightning_bolt_sight_duration"						"SIGHT DURATION:"
"DOTA_Tooltip_ability_custom_lightning_bolt_Lore"								"A shocking punishment for rebellious heathen."
"DOTA_Tooltip_ability_custom_lightning_bolt_Note0"								"You can interrupt channeling spells and items with this ability."


"DOTA_Tooltip_ability_custom_static_field"										"Static Field"
"DOTA_Tooltip_ability_custom_static_field_Description"							"Zeus shocks all nearby enemy units whenever he casts a spell, causing damage proportional to their current health."
"DOTA_Tooltip_ability_custom_static_field_Lore"									"The air crackles with static when the Thundergod walks the world."
"DOTA_Tooltip_ability_custom_static_field_Note0"								"The damage from Static Field is dealt before the damage from the used spell."
"DOTA_Tooltip_ability_custom_static_field_Note1"								"Using items doesn't trigger Static Field."
"DOTA_Tooltip_ability_custom_static_field_Note2"								"Does not require unit visibility to take effect."
"DOTA_Tooltip_ability_custom_static_field_damage_health_pct"					"%HEALTH REDUCTION:"
"DOTA_Tooltip_ability_custom_static_field_radius"								"RANGE:"
