"DOTA_Tooltip_ability_nevermore_custom_necromastery"									"Necromastery"
"DOTA_Tooltip_ability_nevermore_custom_necromastery_Description"						"Shadow Fiend steals the soul from units he hits, gaining bonus damage.  On death, he releases half of them from bondage.\n\nUpgradable by Aghanim's Scepter."
"DOTA_Tooltip_ability_nevermore_custom_necromastery_Lore"								"Harvested souls swirl in and out of the Abysm, empowering the Shadow Fiend to increase the size of his collection."
"DOTA_Tooltip_ability_nevermore_custom_necromastery_necromastery_max_souls"			    "MAX SOULS:"
"DOTA_Tooltip_ability_nevermore_custom_necromastery_necromastery_damage_per_soul"		"DAMAGE PER SOUL:"
"DOTA_Tooltip_ability_nevermore_custom_necromastery_necromastery_max_souls_scepter"     "SCEPTER MAX SOULS:"
"DOTA_Tooltip_ability_nevermore_custom_necromastery_aghanim_description"				"Increases max souls."


"DOTA_Tooltip_modifier_nevermore_custom_necromastery_stack"				                "Necromastery"
"DOTA_Tooltip_modifier_nevermore_custom_necromastery_stack_Description"	                "Stored souls granting bonus damage."
