"DOTA_Tooltip_Ability_item_great_heart"				            "Great Heart of Tarrasque"
"DOTA_Tooltip_ability_item_great_heart_Description"			    "<h1>Passive: Health Regeneration</h1>Restores %health_regen_rate%%% of max health per second. <br><br>If damage is taken from an enemy hero or Roshan, this ability is disabled for %cooldown_melee% seconds for melee heroes, or %cooldown_ranged_tooltip% seconds for ranged heroes."
"DOTA_Tooltip_ability_item_great_heart_Lore"				    "Preserved heart of an extinct monster, it bolsters the bearer's fortitude."
"DOTA_Tooltip_ability_item_great_heart_bonus_strength"		    "+$str"
"DOTA_Tooltip_ability_item_great_heart_bonus_health"            "+$health"


"DOTA_Tooltip_Ability_item_ultimate_heart"				        "Ultimate Heart of Tarrasque"
"DOTA_Tooltip_ability_item_ultimate_heart_Description"			"<h1>Passive: Health Regeneration</h1>Restores %health_regen_rate%%% of max health per second. <br><br>If damage is taken from an enemy hero or Roshan, this ability is disabled for %cooldown_melee% seconds for melee heroes, or %cooldown_ranged_tooltip% seconds for ranged heroes."
"DOTA_Tooltip_ability_item_ultimate_heart_Lore"				    "Preserved heart of an extinct monster, it bolsters the bearer's fortitude."
"DOTA_Tooltip_ability_item_ultimate_heart_bonus_strength"		"+$str"
"DOTA_Tooltip_ability_item_ultimate_heart_bonus_health"         "+$health"
