"DOTA_Tooltip_Ability_item_tome_str"					        "Strength Tome"
"DOTA_Tooltip_Ability_item_tome_str_Description"		        "<h1>Use: Consume</h1> Permanently increases your strength by %bonus%."
"DOTA_Tooltip_Ability_item_tome_str_Lore"					    "Money is strength."

"DOTA_Tooltip_modifier_tome_str_bonus"					        "Strength Bonus"
"DOTA_Tooltip_modifier_tome_str_bonus_Description"		        "Strength increased by %dMODIFIER_PROPERTY_TOOLTIP%."


"DOTA_Tooltip_Ability_item_tome_agi"					        "Agility Tome"
"DOTA_Tooltip_Ability_item_tome_agi_Description"		        "<h1>Use: Consume</h1> Permanently increases your agility by %bonus%."
"DOTA_Tooltip_Ability_item_tome_agi_Lore"					    "Money is agility."

"DOTA_Tooltip_modifier_tome_agi_bonus"					        "Agility Bonus"
"DOTA_Tooltip_modifier_tome_agi_bonus_Description"		        "Agility increased by %dMODIFIER_PROPERTY_TOOLTIP%."


"DOTA_Tooltip_Ability_item_tome_int"					        "Intelicenge Tome"
"DOTA_Tooltip_Ability_item_tome_int_Description"		        "<h1>Use: Consume</h1> Permanently increases your inteligence by %bonus%."
"DOTA_Tooltip_Ability_item_tome_int_Lore"					    "Money is inteligence."

"DOTA_Tooltip_modifier_tome_int_bonus"					        "Inteligence Bonus"
"DOTA_Tooltip_modifier_tome_int_bonus_Description"		        "Inteligence increased by %dMODIFIER_PROPERTY_TOOLTIP%."
